"Date","Time","Segment","Symbol","Trade Type","Quantity","Trade Price (₹)","Trade Value  (₹)","Order id"
"03/01/2023","01:10 PM","NSE_FNO","IO PE NIFTY 05Jan2023 18100","BUY","100","45.5","4550","1100000053047565"
"03/01/2023","02:34 PM","NSE_FNO","IO PE NIFTY 05Jan2023 18100","SELL","100","26.5","2650","1100000068791029"
"04/01/2023","10:03 AM","NSE_FNO","IO PE NIFTY 05Jan2023 18050","BUY","100","36.5","3650","1100000026565967"
"04/01/2023","10:21 AM","NSE_FNO","IO PE NIFTY 05Jan2023 18050","SELL","100","32.8","3280","1100000033035798"
"04/01/2023","10:43 AM","NSE_FNO","IO PE NIFTY 05Jan2023 18050","BUY","100","30","3000","1100000038277329"
"04/01/2023","11:03 AM","NSE_FNO","IO PE NIFTY 05Jan2023 18050","SELL","100","39.7","3970","1100000043592716"
"04/01/2023","02:29 PM","NSE_FNO","IO PE NIFTY 05Jan2023 18000","BUY","100","32.5","3250","1100000106102525"
"04/01/2023","02:30 PM","NSE_FNO","IO PE NIFTY 05Jan2023 18000","SELL","100","35","3500","1100000106273402"
"05/01/2023","09:45 AM","NSE_FNO","IO PE NIFTY 05Jan2023 18000","BUY","50","35","1750","1100000023648912"
"05/01/2023","09:45 AM","NSE_FNO","IO PE NIFTY 05Jan2023 18000","BUY","50","35","1750","1100000023648912"
"05/01/2023","10:14 AM","NSE_FNO","IO PE NIFTY 05Jan2023 18000","BUY","50","20","1000","1100000041084713"
"05/01/2023","11:32 AM","NSE_FNO","IO PE NIFTY 05Jan2023 18000","SELL","150","34.5","5175","1100000072749322"
"10/01/2023","10:36 AM","NSE_FNO","IO PE NIFTY 12Jan2023 18000","BUY","50","93","4650","1100000036061434"
"10/01/2023","10:43 AM","NSE_FNO","IO PE NIFTY 12Jan2023 18000","SELL","50","100","5000","1100000038020593"
"10/01/2023","12:43 PM","NSE_FNO","IO PE NIFTY 12Jan2023 17950","BUY","50","96","4800","1100000071361757"
"10/01/2023","12:44 PM","NSE_FNO","IO PE NIFTY 12Jan2023 17950","SELL","50","102","5100","1100000071703087"
"11/01/2023","10:53 AM","NSE_FNO","IO PE NIFTY 12Jan2023 17850","BUY","50","49","2450","1100000051305750"
"11/01/2023","10:53 AM","NSE_FNO","IO PE NIFTY 12Jan2023 17850","BUY","50","49","2450","1100000051305750"
"11/01/2023","10:54 AM","NSE_FNO","IO PE NIFTY 12Jan2023 17850","SELL","100","55","5500","1100000052201768"
"11/01/2023","01:16 PM","NSE_FNO","IO CE NIFTY 12Jan2023 18000","BUY","100","42.5","4250","1000000087365462"
"11/01/2023","01:37 PM","NSE_FNO","IO CE NIFTY 12Jan2023 18000","SELL","100","46","4600","1000000091807247"
"12/01/2023","10:20 AM","NSE_FNO","IO PE NIFTY 12Jan2023 17850","BUY","100","54","5400","1100000046177232"
"12/01/2023","10:30 AM","NSE_FNO","IO PE NIFTY 12Jan2023 17850","SELL","100","61","6100","1100000051090721"
"16/01/2023","12:23 PM","NSE_FNO","IO PE NIFTY 19Jan2023 17900","BUY","50","96","4800","1100000068086610"
"16/01/2023","12:32 PM","NSE_FNO","IO PE NIFTY 19Jan2023 17900","SELL","50","101.5","5075","1100000068469728"
"16/01/2023","01:47 PM","NSE_FNO","IO PE NIFTY 19Jan2023 17900","BUY","50","89.5","4475","1100000095063283"
"16/01/2023","01:48 PM","NSE_FNO","IO PE NIFTY 19Jan2023 17900","SELL","50","93.5","4675","1100000095283582"
"17/01/2023","01:27 PM","NSE_FNO","IO PE NIFTY 19Jan2023 17900","BUY","100","58","5800","1100000066759560"
"17/01/2023","01:52 PM","NSE_FNO","IO PE NIFTY 19Jan2023 17900","SELL","100","36","3600","1100000074280513"
